input,expected_output
Visualiser la distribution des commits par dev-team depuis janvier,"{""intent"": ""analyze"", ""metrics"": [""commits_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": [""dev-team""]}, ""visualization"": ""bar_chart""}"
Show lead time for my-project in last quarter,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [""my-project""], ""authors"": []}, ""visualization"": ""histogram""}"
Display code churn by backend-dev in February 2026,"{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-02-01"", ""end_date"": ""2026-02-28""}, ""repositories"": [], ""authors"": [""backend-dev""]}, ""visualization"": ""line_chart""}"
Analyze committers for api-service from 2024 to 2025,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2024-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""api-service""], ""authors"": []}, ""visualization"": ""bar_chart""}"
"Show MR timeline for authors alice, bob, and charlie","{""intent"": ""analyze"", ""metrics"": [""mr_creation_timeline""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": [""alice"", ""bob"", ""charlie""]}, ""visualization"": ""line_chart""}"
Afficher l'analyse des discussions pour mobile-app en 2025,"{""intent"": ""analyze"", ""metrics"": [""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""mobile-app""], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show files modified for data-pipeline this year,"{""intent"": ""analyze"", ""metrics"": [""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-04""}, ""repositories"": [""data-pipeline""], ""authors"": []}, ""visualization"": ""bar_chart""}"
Visualize state distribution for microservices from August to December 2025,"{""intent"": ""analyze"", ""metrics"": [""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-08-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""microservices""], ""authors"": []}, ""visualization"": ""pie_chart""}"
Show commits distribution and top committers from January,"{""intent"": ""analyze"", ""metrics"": [""commits_distribution"", ""commiters_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Visualize commits over time and MR creation timeline from last month,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""mr_creation_timeline""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-02-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
Show code churn and churn scatter for Q4 2025,"{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis"", ""churn_scatter""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-10-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""scatter_plot""}"
Display lead time distribution and MR size analysis,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution"", ""mr_size_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""histogram""}"
Compare committers and discussions for 2025,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis"", ""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
"Show commits over time, files modified, and state distribution","{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""files_modified"", ""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Montrer le churn scatter et la distribution des commits pour backend en janvier,"{""intent"": ""analyze"", ""metrics"": [""churn_scatter"", ""commits_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-01-31""}, ""repositories"": [""backend""], ""authors"": []}, ""visualization"": ""scatter_plot""}"
Analyze MR timeline and discussions for senior-dev and junior-dev,"{""intent"": ""analyze"", ""metrics"": [""mr_creation_timeline"", ""discussions_analysis""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [], ""authors"": [""senior-dev"", ""junior-dev""]}, ""visualization"": ""line_chart""}"
"Visualize code churn, committers, and files modified for my-app in 2025","{""intent"": ""analyze"", ""metrics"": [""code_churn_analysis"", ""commiters_analysis"", ""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""my-app""], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show lead time and code churn from the last 3 months by lead-dev,"{""intent"": ""analyze"", ""metrics"": [""lead_time_distribution"", ""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": [""lead-dev""]}, ""visualization"": ""histogram""}"
"Display commits distribution, MR size, and state distribution for multi-repo and api-repo","{""intent"": ""analyze"", ""metrics"": [""commits_distribution"", ""mr_size_analysis"", ""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [""multi-repo"", ""api-repo""], ""authors"": []}, ""visualization"": ""bar_chart""}"
Visualiser l'évolution des commits et les fichiers modifiés ce mois-ci,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-03-01"", ""end_date"": ""2026-03-04""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""line_chart""}"
"Show committers, discussions, and MR timeline from November 2025 to February 2026","{""intent"": ""analyze"", ""metrics"": [""commiters_analysis"", ""discussions_analysis"", ""mr_creation_timeline""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-11-01"", ""end_date"": ""2026-02-28""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Analyze churn scatter and lead time for core-lib by maintainer-1,"{""intent"": ""analyze"", ""metrics"": [""churn_scatter"", ""lead_time_distribution""], ""dimensions"": [], ""filters"": {""date_range"": null, ""repositories"": [""core-lib""], ""authors"": [""maintainer-1""]}, ""visualization"": ""scatter_plot""}"
Afficher la timeline MR et l'analyse du churn pour web-app des 3 derniers mois par fullstack-dev,"{""intent"": ""analyze"", ""metrics"": [""mr_creation_timeline"", ""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-12-04"", ""end_date"": ""2026-03-04""}, ""repositories"": [""web-app""], ""authors"": [""fullstack-dev""]}, ""visualization"": ""line_chart""}"
"Compare all metrics: commits, lead time, committers, churn, MR size, discussions, files, state for 2025","{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""lead_time_distribution"", ""commiters_analysis"", ""code_churn_analysis"", ""mr_size_analysis"", ""discussions_analysis"", ""files_modified"", ""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [], ""authors"": []}, ""visualization"": ""bar_chart""}"
Show commits and code churn by alice from January to February 2026 for frontend-app,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""code_churn_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-02-28""}, ""repositories"": [""frontend-app""], ""authors"": [""alice""]}, ""visualization"": ""line_chart""}"
Visualiser les discussions et les fichiers modifiés pour le repo api-gateway en Q1 2026,"{""intent"": ""analyze"", ""metrics"": [""discussions_analysis"", ""files_modified""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""repositories"": [""api-gateway""], ""authors"": []}, ""visualization"": ""bar_chart""}"
Display MR size and state distribution from 2024 for backend-services by devops-team,"{""intent"": ""analyze"", ""metrics"": [""mr_size_analysis"", ""state_distribution""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2024-01-01"", ""end_date"": ""2024-12-31""}, ""repositories"": [""backend-services""], ""authors"": [""devops-team""]}, ""visualization"": ""histogram""}"
Montrer l'analyse des committers et le churn scatter pour les auteurs alice et bob sur le repo platform en 2025,"{""intent"": ""analyze"", ""metrics"": [""commiters_analysis"", ""churn_scatter""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2025-01-01"", ""end_date"": ""2025-12-31""}, ""repositories"": [""platform""], ""authors"": [""alice"", ""bob""]}, ""visualization"": ""bar_chart""}"
Show commits over time and MR size for infra-repo authored by sre-lead from Q1 2026,"{""intent"": ""analyze"", ""metrics"": [""commits_over_time"", ""mr_size_analysis""], ""dimensions"": [], ""filters"": {""date_range"": {""start_date"": ""2026-01-01"", ""end_date"": ""2026-03-31""}, ""repositories"": [""infra-repo""], ""authors"": [""sre-lead""]}, ""visualization"": ""line_chart""}"
